Industry,Stage,Country,Funds_Raised,Cash_Reserves,Profit_Margin,Revenue_Growth,Laid_Off
Data,Post-IPO,United States,311.0,267294000.0,-0.395851196654482,0.01867970210548897,1
Retail,Post-IPO,United States,108.0,68402000000.0,0.06584845805814135,0.045112804036393284,0
Retail,Post-IPO,United States,108.0,84396000000.0,0.05752060849826769,0.30589214207707105,0
Retail,Post-IPO,United States,108.0,73270000000.0,0.07470650030409702,-0.13569352076779095,0
Retail,Post-IPO,United States,108.0,89894000000.0,0.0687831623629289,0.04203910871929084,0
Retail,Post-IPO,United States,108.0,78988000000.0,0.028480669963541854,-0.020056597099398665,0
Retail,Post-IPO,United States,108.0,96049000000.0,0.1042339824760574,0.24004620438219693,0
Retail,Post-IPO,United States,108.0,66385000000.0,-0.03301157638006252,-0.15259220446540334,0
Retail,Post-IPO,United States,108.0,60710000000.0,-0.01672798059950179,0.04113565318951595,1
Retail,Post-IPO,United States,108.0,58662000000.0,0.022596203019645794,0.04839401488031414,1
Retail,Post-IPO,United States,108.0,70026000000.0,0.0018632208251789495,0.1739010708019606,1
Retail,Post-IPO,United States,108.0,64405000000.0,0.024906170008951147,-0.14641698613978182,1
Retail,Post-IPO,United States,108.0,63970000000.0,0.050229567728060844,0.0551594717253725,1
Retail,Post-IPO,United States,108.0,64169000000.0,0.06904384168629397,0.06474033173838944,1
Retail,Post-IPO,United States,108.0,86780000000.0,0.06250845782267697,0.18784901071406113,1
Marketing,Post-IPO,United States,1600.0,317235000.0,-0.03681961097370336,0.045112804036393284,0
Marketing,Post-IPO,United States,1600.0,761075000.0,-0.017422422115761983,0.18445110888381966,0
Marketing,Post-IPO,United States,1600.0,1183743000.0,0.021565296962048786,0.10752024004888416,0
Marketing,Post-IPO,United States,1600.0,1049617000.0,0.00024485831919895566,0.08693851430758692,0
Marketing,Post-IPO,United States,1600.0,1520504000.0,0.039530164971580524,0.09150410412806376,1
Marketing,Post-IPO,United States,1600.0,1413256000.0,-0.1842870642335323,-0.21178998575875585,1
Real Estate,Post-IPO,United States,30.0,176717000.0,1.6373236924101515,0.045112804036393284,0
Real Estate,Post-IPO,United States,30.0,168519000.0,-0.007082504970178927,-0.13859619912946264,0
Real Estate,Post-IPO,United States,30.0,148085000.0,0.006069360499740247,0.08958747514910548,0
Real Estate,Post-IPO,United States,30.0,151588000.0,0.022697663971248876,0.128216824419356,0
Real Estate,Post-IPO,United States,30.0,160478000.0,-0.001471678026072707,0.0760220125786164,0
Real Estate,Post-IPO,United States,30.0,122447000.0,-0.013922594142259414,-0.0021814234570864954,0
Real Estate,Post-IPO,United States,30.0,127925000.0,-0.1356841665400395,0.10142259414225951,0
Real Estate,Post-IPO,United States,30.0,118051000.0,-0.25517241379310346,0.11542698678012453,0
Real Estate,Post-IPO,United States,30.0,139250000.0,-0.033274970218821705,0.06495530012771389,0
Real Estate,Post-IPO,United States,30.0,160066000.0,-0.1587966918699318,-0.008162841084434658,1
Real Estate,Post-IPO,United States,30.0,168947000.0,-0.2579720793534166,0.09706750068516334,1
Real Estate,Post-IPO,United States,30.0,163971000.0,-0.12851266360700322,0.0806392358559882,1
Other,Post-IPO,United States,453.0,423864000.0,-1.2441897971309737,0.045112804036393284,0
Other,Post-IPO,United States,453.0,386274000.0,-0.8996767540844535,0.1606654783125372,0
Other,Post-IPO,United States,453.0,386307000.0,-0.7911259504649616,0.12145855577820353,0
Other,Post-IPO,United States,453.0,373585000.0,-0.763930798632066,0.16700794282211473,0
Other,Post-IPO,United States,453.0,343396000.0,-0.6904731056340134,0.12135944030934986,0
Other,Post-IPO,United States,453.0,312031000.0,-0.8043752065672761,0.11572998993392258,0
Other,Post-IPO,United States,453.0,281385000.0,-0.8194884206687333,0.077687161118009,0
Other,Post-IPO,United States,453.0,238912000.0,-0.837452556043174,0.11811415214760546,1
Other,Post-IPO,United States,453.0,545413000.0,-0.7134170914669928,0.048504032736330194,1
Data,Post-IPO,United States,613.0,723211000.0,0.03358850420530848,0.045112804036393284,0
Data,Post-IPO,United States,613.0,756336000.0,0.13726662804388046,0.2375170563611555,0
Data,Post-IPO,United States,613.0,839497000.0,-0.34234036999301104,-0.26019298934135693,0
Data,Post-IPO,United States,613.0,661876000.0,-0.3617889564420755,0.011039163347619896,0
Data,Post-IPO,United States,613.0,596445000.0,-0.46994761176022865,0.028574997917881317,0
Data,Post-IPO,United States,613.0,659249000.0,-0.2180284447515403,0.40622343138921946,0
Data,Post-IPO,United States,613.0,458374000.0,-0.6683951602180561,-0.09056831922611852,0
Data,Post-IPO,United States,613.0,408903000.0,-0.5911602209944752,0.1459975560494109,0
Data,Post-IPO,United States,613.0,379907000.0,-0.3488372093023256,0.18784530386740328,0
Data,Post-IPO,United States,613.0,342000000.0,-0.10631229235880399,0.3999999999999999,1
Data,Post-IPO,United States,613.0,801025000.0,-0.4472165435211742,-0.33858139534883724,1
Retail,Post-IPO,United States,426.0,38278000.0,-0.06289212890346499,0.045112804036393284,0
Retail,Post-IPO,United States,426.0,321000000.0,-0.21090760675475742,0.04810708683872811,0
Retail,Post-IPO,United States,426.0,272599000.0,0.053719145819809924,0.021733585021172397,0
Retail,Post-IPO,United States,426.0,228692000.0,-0.09403317899042696,0.1718513340323895,0
Retail,Post-IPO,United States,426.0,199397000.0,-0.2849580053715865,-0.08512058631366648,0
Retail,Post-IPO,United States,426.0,177242000.0,-0.1174837971788029,0.018039836678931165,0
Retail,Post-IPO,United States,426.0,166310000.0,-0.0739774987136162,0.0965611894776972,1
Retail,Post-IPO,United States,426.0,164181000.0,-0.15833668319263924,-0.06591847803412743,1
Marketing,Post-IPO,United States,145.0,30332000.0,0.026770434357428083,0.045112804036393284,0
Marketing,Post-IPO,United States,145.0,37472000.0,0.0376420189979512,0.09383913291500279,0
Marketing,Post-IPO,United States,145.0,35152000.0,0.093584107120054,0.020990873533246468,0
